title,rating,voteCount,summary
19. Interstellar,8.7,(2.3M),When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans.
20. Se7en,8.6,(1.9M),Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.
21. It's a Wonderful Life,8.6,(522K),An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.
22. Shichinin no samurai,8.6,(379K),Farmers from a village exploited by bandits hire a veteran samurai for protection, and he gathers six other samurai to join him.
23. The Silence of the Lambs,8.6,(1.6M),A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.
24. Saving Private Ryan,8.6,(1.5M),Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.
25. Cidade de Deus,8.6,(827K),In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.
26. The Green Mile,8.6,(1.5M),Paul Edgecomb, the head death row guard at a prison in 1930s Louisiana, meets an inmate, John Coffey, a black man who is accused of murdering two girls. His life changes drastically when he discovers that John has a special gift.
27. La vita è bella,8.6,(767K),When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor and imagination to protect his son from the dangers around their camp.
28. Terminator 2: Judgment Day,8.6,(1.2M),A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten year old son John from an even more advanced and powerful cyborg.
29. Star Wars,8.6,(1.5M),Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.
30. Back to the Future,8.5,(1.4M),Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.
31. Sen to Chihiro no kamikakushi,8.6,(891K),During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches and spirits, and where humans are changed into beasts.
32. The Pianist,8.5,(951K),During WWII, acclaimed Polish musician Wladyslaw faces various struggles as he loses contact with his family. As the situation worsens, he hides in the ruins of Warsaw in order to survive.
33. Gladiator,8.5,(1.7M),A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.
34. Gisaengchung,8.5,(1M),Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.
35. Psycho,8.5,(743K),A secretary on the run for embezzlement takes refuge at a secluded California motel owned by a repressed man and his overbearing mother.
36. The Lion King,8.5,(1.2M),Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.
37. The Departed,8.5,(1.5M),An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.
38. Hotaru no haka,8.5,(337K),A young boy and his little sister struggle to survive in Japan during World War II.
39. Whiplash,8.5,(1M),A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.
40. American History X,8.5,(1.2M),Living a life marked by violence, neo-Nazi Derek finally goes to prison after killing two black youths. Upon his release, Derek vows to change; he hopes to prevent his brother, Danny, who idolizes Derek, from following in his footsteps.
41. Seppuku,8.6,(77K),When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity.
42. The Prestige,8.5,(1.5M),Rival 19th-century magicians engage in a bitter battle for trade secrets.
43. Spider-Man: Across the Spider-Verse,8.5,(432K),Miles Morales catapults across the multiverse, where he encounters a team of Spider-People charged with protecting its very existence. When the heroes clash on how to handle a new threat, Miles must redefine what it means to be a hero.
44. Léon,8.5,(1.3M),12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade.
45. Casablanca,8.5,(624K),A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.
46. The Usual Suspects,8.5,(1.2M),The sole survivor of a pier shoot-out tells the story of how a notorious criminal influenced the events that began with five criminals meeting in a seemingly random police lineup.
47. Intouchables,8.5,(963K),After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.
48. Nuovo Cinema Paradiso,8.5,(296K),Salvatore, a famous film director, returns to his hometown for the funeral of the local theater's film projectionist, Alfredo. He reminisces about his life as a young boy falling in love with cinema.
49. Modern Times,8.5,(269K),The Tramp struggles to live in modern industrial society with the help of a young homeless woman.
50. Alien,8.5,(1M),After investigating a mysterious transmission of unknown origin, the crew of a commercial spacecraft encounters a deadly lifeform.
51. Rear Window,8.5,(540K),A bored photographer recovering from a broken leg passes the time by watching his neighbors and begins to suspect one of them of murder.
52. C'era una volta il West,8.5,(363K),A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.
53. Dune: Part Two,8.5,(585K),Paul Atreides unites with the Fremen while on a warpath of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the universe, he endeavors to prevent a terrible future.
54. Django Unchained,8.5,(1.8M),With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation owner in Mississippi.
55. City Lights,8.5,(204K),With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.
56. Apocalypse Now,8.4,(733K),A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.
57. Memento,8.4,(1.4M),Leonard Shelby, an insurance investigator, suffers from anterograde amnesia and uses notes and tattoos to hunt for the man he thinks killed his wife, which is the last thing he remembers.
58. WALL·E,8.4,(1.2M),A robot who is responsible for cleaning a waste-covered Earth meets another robot and falls in love with her. Together, they set out on a journey that will alter the fate of mankind.
59. Raiders of the Lost Ark,8.4,(1.1M),In 1936, archaeologists and adventurers of the U.S. government hired Indiana Jones to find the Ark of the Covenant before the Nazis could obtain its extraordinary powers.
60. Das Leben der Anderen,8.4,(423K),In 1984 East Berlin, an agent of the secret police conducting surveillance on a writer and his lover finds himself becoming increasingly absorbed by their lives.
61. Avengers: Infinity War,8.4,(1.3M),The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.
62. Sunset Blvd.,8.4,(246K),A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.
63. Spider-Man: Into the Spider-Verse,8.4,(713K),Teen Miles Morales becomes the Spider-Man of his universe and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.
64. 12th Fail,8.8,(141K),The real-life story of IPS Officer Manoj Kumar Sharma and IRS Officer Shraddha Joshi.
65. Paths of Glory,8.4,(223K),A colonel defends three of his soldiers in a court-martial after they abandon a suicidal attack.
66. Witness for the Prosecution,8.4,(147K),A veteran British barrister must defend his client in a murder trial that has surprise after surprise.
67. The Shining,8.4,(1.2M),A family heads to an isolated hotel for the winter, where a sinister presence influences the father into violence. At the same time, his psychic son sees horrifying forebodings from both the past and the future.
68. The Great Dictator,8.4,(246K),Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.
69. Aliens,8.4,(800K),Decades after surviving the Nostromo incident, Ellen Ripley is sent out to re-establish contact with a terraforming colony but finds herself battling the Alien Queen and her offspring.
70. Inglourious Basterds,8.4,(1.7M),In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.
71. The Dark Knight Rises,8.4,(1.9M),Bane, an imposing terrorist, attacks Gotham City and disrupts its eight-year-long period of peace. This forces Bruce Wayne to come out of hiding and don the cape and cowl of Batman again.
72. Coco,8.4,(634K),Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.
73. Amadeus,8.4,(443K),The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was deeply jealous of Mozart's talent and claimed to have murdered him.
74. Toy Story,8.3,(1.1M),A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.
75. Oldeuboi,8.3,(666K),After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must track down his captor in five days.
